
            Name                 Version        Type   
  typst-timing              0.12.0             cargo   
  typst-utils               0.12.0             cargo   
  unic-langid               0.9.5              cargo   
  unic-langid-impl          0.9.5              cargo   
  unicode-bidi              0.3.17             cargo   
  unicode-bidi-mirroring    0.3.0              cargo   
  unicode-ccc               0.3.0              cargo   
  unicode-ident             1.0.13             cargo   
  unicode-math-class        0.1.0              cargo   
  unicode-normalization     0.1.24             cargo   
  unicode-properties        0.1.3              cargo   
  unicode-script            0.5.7              cargo   
  unicode-segmentation      1.12.0             cargo   
  unicode-vo                0.1.0              cargo   
  unicode-width             0.1.14             cargo   
  universal-translator      0.18.1             golang  
  unsafe-libyaml            0.2.11             cargo   
  unscanny                  0.1.0              cargo   
  ureq                      2.10.1             cargo   
  url                       2.5.2              cargo   
  usvg                      0.43.0             cargo   
  utf8_iter                 1.0.4              cargo   
  utf8parse                 0.2.2              cargo   
  validator                 10.25.0            golang  
  walkdir                   2.5.0              cargo   
  wasmi                     0.35.0             cargo   
  wasmi_collections         0.35.0             cargo   
  wasmi_core                0.35.0             cargo   
  wasmparser-nostd          0.100.2            cargo   
  weezl                     0.1.8              cargo   
  winnow                    0.6.20             cargo   
  writeable                 0.5.5              cargo   
  xattr                     1.3.1              cargo   
  xman-report               1.3.2              golang  
  xmlparser                 0.13.6             cargo   
  xmlwriter                 0.1.0              cargo   
  xmp-writer                0.3.0              cargo   
  yaml-rust                 0.4.5              cargo   
  yaml.v3                   3.0.1              golang  
  yoke                      0.7.4              cargo   
  yoke-derive               0.7.4              cargo   
  zerocopy                  0.7.35             cargo   
  zerocopy-derive           0.7.35             cargo   
  zerofrom                  0.1.4              cargo   
  zerofrom-derive           0.1.4              cargo   
  zerotrie                  0.1.3              cargo   
  zerovec                   0.10.4             cargo   
  zerovec-derive            0.10.3             cargo   
  zlib                      1.3.1-r2           apk     
  zune-core                 0.4.12             cargo   
  zune-jpeg                 0.4.13             cargo   
